image_path,source,category,organ
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs10.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs100.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1000.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1001.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1002.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1003.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1004.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1005.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1006.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1007.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1008.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1009.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs101.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1010.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1011.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1012.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1013.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1014.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1015.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1016.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1017.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1018.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1019.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs102.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1020.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1021.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1022.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1023.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1024.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1025.jpg,PlantVillage,Bacterial_spot,leaf
